1.02886E+11,3757320354,2,1
7.07227E+11,932896131,2,3
6.70606E+11,3292841982,3,3
4.95816E+11,3058182384,5,2
9.72764E+11,2522353758,4,2
1.91344E+11,1903962224,4,2
4.40992E+11,1274722120,3,3
4.70801E+11,586306817,2,1
7.75876E+11,1054444754,3,1
1.37305E+11,1167601078,2,2
1.42221E+11,1922915788,4,2
1.0892E+11,1426300812,1,2
6.874E+11,4780780197,2,3
4.87431E+11,1947453790,5,3
6.89156E+11,3514741548,3,1
6.37473E+11,383053025,3,3
37264313877,2818891670,4,3
3.62674E+11,3067799648,4,2
1.32152E+11,2192432698,4,3
1.86063E+11,3172331861,3,1
18257816792,1051297862,3,3
3.62207E+11,2986112671,1,3
8.65954E+11,20529342,1,3
9.16005E+11,2740662764,4,1
2.3673E+11,2983370314,3,1
5.22653E+11,808203255,5,3
8.85155E+11,1906467749,3,1
43032310464,269270557,1,2
6.04861E+11,3087084785,5,3
3.94675E+11,1042384216,2,3
35559019634,134855082,4,3
8.88813E+11,3560713495,5,1
3.97099E+11,4622966776,4,1
5.34008E+11,2506721394,1,3
3.97248E+11,1780852731,4,1
8.718E+11,2235752251,5,3
1.80918E+11,4235356253,4,2
1.74005E+11,1738208518,2,2
9.57594E+11,938613263,4,3
7.57542E+11,1056103910,3,2
1.9415E+11,2445316961,1,1
2.49406E+11,2048198119,2,3
17067189856,1146152726,4,3
3.5376E+11,688063443,1,1
9.21848E+11,1370150882,1,3
8.76251E+11,3033766909,5,3
7.12636E+11,4469761153,4,1
2.59054E+11,4053004684,2,3
5.48852E+11,2402334488,3,3
1.38079E+11,2627437674,1,2
4.50622E+11,503987115,5,2
8.89383E+11,669780911,5,1
7.16812E+11,2045254015,2,2
1.16194E+11,1012260101,1,1
4.44853E+11,2376190554,2,2
3.97906E+11,2948742060,3,1
4.62731E+11,2264281308,5,2
8.20956E+11,3831350303,3,1
4.48252E+11,686328026,3,2
72032974636,1780321284,4,2
8.59698E+11,1206224784,4,1
3.37524E+11,4358050413,1,3
1.24988E+11,2301606673,1,3
2.40164E+11,3799253641,5,3
5.89804E+11,3148186370,2,3
8.04844E+11,1472890817,5,2
3.22756E+11,4441699840,3,3
5790233064,672309922,5,1
9.55457E+11,2566527004,1,2
9.4945E+11,4404767656,3,3
9.89897E+11,1090472056,4,1
1.7182E+11,2412055057,3,2
1.76338E+11,3200470326,3,1
51683634997,2382695592,4,2
3.60713E+11,2129258227,1,3
7.54525E+11,3012034698,1,1
9.9908E+11,1908945572,3,2
9.23971E+11,3894076828,1,3
4.52677E+11,1257326427,3,3
80599615107,3097549449,5,2
