1,2015-12-31,14,923107,805420629,59500,796252629671,1530,3929299
2,2019-09-02,5,538222,2794298900,86244,652484792431,1956,40380275
3,2018-09-09,13,713521,116347387,73139,530371653830,1044,90821609
4,2016-11-07,10,55433,1032419637,76873,564680307358,4672,97485060
5,2020-11-03,12,519028,3509505333,55807,715870943156,82,30630321
6,2017-09-05,9,786030,1557996672,14248,742097712974,128,56414132
7,2019-11-25,9,847158,2621512292,38678,109123841364,4975,30103486
8,2016-08-24,12,244646,4283103781,81504,229702270761,1139,68417363
9,2020-03-14,13,723903,2576082026,88940,764009719287,5987,73560216
10,2017-08-07,5,841123,4509766419,14967,876653254407,4388,27037304
11,2019-03-19,7,560492,306905485,56489,307387468138,5774,33810651
12,2020-07-26,6,576648,3174724591,20045,571480525874,4127,13927762
13,2015-07-14,13,399927,1060789736,87647,586974284221,1281,35547219
14,2015-10-15,4,165189,322288663,82172,660568458438,4069,42716777
15,2015-03-25,13,639912,3075726914,39908,902503019178,344,41293427
16,2020-04-21,1,297599,33339510,93347,933162771896,1977,83447137
17,2017-10-31,13,313893,2470975522,38658,720765330398,5544,47691863
18,2016-11-24,2,148147,2603142395,59677,87549619116,1476,46235789
19,2019-12-01,14,755365,2715328154,74571,983841112124,5751,28928374
20,2017-11-16,8,908812,4788485025,72981,464044771499,2839,50417258
21,2016-05-31,14,866367,1898537453,27567,558882750739,4902,81845952
22,2020-10-05,14,369037,523051259,83824,243438949317,4625,22141596
23,2018-07-18,7,462256,471559440,42192,502011682372,2800,51367649
24,2020-12-05,2,674018,4388241386,89320,706803070267,2046,49324570
25,2019-08-11,12,541551,2878046972,49831,242313363389,1208,48552480
26,2019-10-23,7,602208,509592626,81950,539160325002,2359,69618094
27,2017-11-25,7,816192,1295354042,70806,649355733981,3375,50403480
28,2020-05-17,8,900755,892656227,42379,557025108210,3803,96062170
29,2020-06-22,11,459220,4907101190,40605,169070669225,2056,87369130
30,2017-01-16,4,169639,2112615088,66015,936173346787,759,10582356
31,2017-10-07,1,137386,4758977213,41152,385150556698,4483,97697630
32,2020-04-24,5,904415,4614668520,69323,670952857659,3374,36573860
33,2016-10-11,6,547908,1229187731,41219,226944421440,5810,37757502
34,2016-08-01,2,905130,3845035580,28249,651695234495,3709,20787713
35,2020-10-06,13,11643,3831221577,35406,625557280722,564,58944211
36,2016-02-14,9,816465,4836487079,84807,106858744179,675,98877234
37,2019-10-08,7,177782,2155739575,56518,49803441806,3734,48220911
38,2016-11-15,4,75620,1579099141,26363,508903850437,5883,13403284
39,2020-09-20,13,435693,1299806553,57070,436986045690,2751,97166117
40,2020-06-27,13,950815,1506883724,30525,667616082863,1796,95928663
41,2019-08-28,4,557161,606619394,90932,366478716657,2988,49566936
42,2015-11-12,10,34002,2264649181,63962,316050082619,2631,41276030
43,2020-11-02,10,362622,3997724994,45412,251952321916,2187,3242932
44,2019-03-24,9,355224,4539143432,67681,898717864779,2181,55867709
45,2018-01-29,10,236913,2037432136,61062,143702033800,5664,51919998
46,2015-02-26,6,338734,4952855851,96502,160820401647,5026,26535281
47,2020-06-19,14,109858,4274301673,92604,564536376220,3457,10928421
48,2018-01-06,11,827976,3389782359,91119,43689818184,3006,38065478
49,2017-04-28,14,842005,3185551558,39012,904732123723,2314,37625445
50,2018-05-03,5,391344,3104202032,65694,504791352513,1218,99622715
51,2015-01-30,10,556231,591900954,52332,93089667929,1962,74830592
52,2020-05-27,4,245925,290654870,74483,832550545748,297,39261645
53,2020-05-07,14,453732,4793760185,54885,533326851868,2896,75105385
54,2016-02-09,11,631854,3165121239,78521,598781640299,3031,85724446
55,2018-02-26,6,868220,4481092558,35756,421199547322,5530,92215790
56,2015-11-09,5,679532,1408340773,27961,760388915418,4420,20171172
57,2018-03-06,5,873913,1332122365,18100,852929195152,5766,39909036
58,2017-11-10,14,562124,1274596720,20802,2907872624,1235,33780513
59,2015-12-19,8,849909,705968625,33920,670952857659,3374,36573860
60,2018-03-14,7,397332,3117722406,38081,970546464882,4015,9280106
61,2020-03-16,9,960981,3972810323,78556,119241655428,4173,46738273
62,2020-04-02,4,191600,1485477643,49651,186398880510,4859,27226220
63,2017-10-30,13,919709,190735622,30421,923344277980,3613,55668125
64,2015-10-13,11,976684,1764978830,85113,305278201281,3650,10729986
65,2020-10-12,10,166724,2519434098,90073,952216415170,5521,12262853
66,2017-02-09,10,962261,2659382337,97265,561463262255,5708,12136846
67,2016-05-21,5,800064,4651191150,19368,772162301627,2148,47347462
68,2019-10-28,1,216038,178492816,51009,278941748953,1625,43997532
69,2016-07-26,1,699085,454545316,31653,137092003920,508,17788870
70,2016-06-25,9,785516,2350297881,99802,285770112595,3592,72629371
71,2016-12-31,1,238766,3179692895,60944,921838403420,2214,93956263
72,2018-03-30,10,55385,4549782540,77365,943561950376,4661,4553071
73,2020-04-16,6,502052,3453825851,28865,959305668160,3086,98217417
74,2017-11-27,3,727673,2196052076,72025,453952750414,2413,7810434
75,2020-11-16,7,840677,2257332985,28577,348592459607,2703,24623851
76,2020-08-03,13,128824,1159320209,28748,169663016888,3866,17776287
77,2020-06-25,14,146051,537431368,36875,954415010197,4536,31669568
78,2018-05-25,3,382243,1334724558,73294,759247651539,357,44060462
79,2018-05-09,4,447127,1337637116,79597,150391489837,174,880260
80,2017-06-13,5,974957,875311741,19434,476844425718,5782,98931155
81,2018-02-20,13,798752,692538914,22395,768529156381,4788,67354948
82,2017-08-28,2,265572,2260670873,58124,67721288685,716,14012713
83,2020-09-25,11,302103,1200884104,98942,549260967447,3625,30930181
84,2020-04-10,1,201460,3214810257,19992,454752520346,4428,62192874
85,2016-12-22,13,30000,3441898470,25496,584072635471,4479,15637799
